Institution,Rank After ICPC 2025,Rank After CUET 2025,Rank After MU 2025,Rank After UU 2025,Rank After DUET 2025,Rank After AUST 2025,Rank After UIU 2025,Rank After KUET 2025,Rank After ICPC 2024,Rank After BUET 2024,Rank After IUT 2024,Rank After NCPC 2024,Rank After SUST 2024,Rank After CUET 2024
RANGPUR POLYTECHNIC INSTITUTE,103,104,104,104,104,102,101,99,98,,,,,
"UNIVERSITY OF CREATIVE TECHNOLOGY, CHITTAGONG",104,95,93,95,93,81,80,77,75,,,,,
INTERNATIONAL STANDARD UNIVERSITY,105,96,96,96,96,87,83,81,78,68,68,,,
TMSS ENGINEERING COLLEGE,106,97,98,97,98,91,86,84,81,72,72,,,
FAREAST INTERNATIONAL UNIVERSITY,107,105,105,105,105,103,102,100,99,,,,,
BANGLADESH OPEN UNIVERSITY,108,102,102,102,102,96,97,92,90,,,,,
TEESTA UNIVERSITY,109,109,109,109,109,107,106,105,104,,,,,
RTM AL-KABIR TECHNICAL UNIVERSITY,110,108,108,108,108,106,105,104,103,85,84,,,
Z. H. SIKDER UNIVERSITY OF SCIENCE AND TECHNOLOGY,111,109,109,109,109,107,106,105,104,,,,,
STATE UNIVERSITY OF BANGLADESH,112,106,106,106,106,104,103,102,101,,,,,
THAKURGAON POLYTECHNIC INSTITUTE,113,,,,,,,,,,,,,
SOUTHERN UNIVERSITY BANGLADESH,114,107,107,107,107,105,104,103,102,,,,,
"COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY, MYMENSINGH",115,109,109,109,109,107,106,105,104,,,,,
HAMDARD UNIVERSITY BANGLADESH,116,109,109,109,109,107,106,105,104,,,,,
ATISH DIPANKAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,117,109,109,109,109,107,106,105,104,,,,,
GERMAN UNIVERSITY BANGLADESH,117,109,109,109,109,107,106,105,104,,,,,
"DELTA COMPUTER SCIENCE COLLEGE, RANGPUR",117,,,,,,,,,,,,,
BARISAL INFORMATION TECHNOLOGY COLLEGE,117,109,109,109,109,107,106,105,104,,,,,
CENTRAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,117,109,109,109,109,107,106,105,104,,,,,
CENTRAL WOMENS UNIVERSITY,117,109,109,109,109,107,106,105,104,,,,,
BRAHMANBARIA POLYTECHNIC INSTITUTE,117,109,109,109,109,107,106,105,104,,,,,
DAFFODIL INTERNATIONAL COLLEGE,117,109,109,109,109,,,,,,,,,
HEADWAY ENGINEERING INSTITUTE | SYLHET,117,109,109,109,109,107,106,105,104,,,,,
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,117,109,109,109,109,107,106,105,104,85,84,,,
PIROJPUR SCIENCE AND TECHNOLOGY UNIVERSITY,117,109,109,109,,,,,,,,,,
MANARAT INTERNATIONAL UNIVERSITY,117,109,109,109,109,107,106,105,104,,,,,
PRIMEASIA UNIVERSITY,117,109,109,109,109,107,106,105,104,,,,,
SHEIKH FAZILATUNNESA MUJIB UNIVERSITY,117,109,109,109,109,107,106,105,104,,,,,
SUNAMGONJ SCIENCE & TECHNOLOGY UNIVERSITY,117,109,109,109,109,107,106,105,,,,,,
UNITED COLLEGE OF AVIATION SCIENCE AND MANAGEMENT,117,109,109,109,109,,,,,,,,,
AHSANIA MISSION UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,
AHSANULLAH INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGY,,,,,,,,,,,,,,
BANGLADESH DIGITAL UNIVERSITY,,,,,,,,,,,,,,
DHAKA RESIDENTIAL MODEL COLLEGE,,,,,,,,,,,,,,
DR. SEKANDAR ALI COLLEGE,,,,,,,,,,,,,,
"GOVT. SHAHID SUHRAWARDY COLLEGE, DHAKA",,,,,,,,,,,,,,
SIMT ENGINEERING COLLEGE,,,,,,,,,,,,,,
UNIVERSITY OF DEVELOPMENT ALTERNATIVE,,,,,,,,,,,,,,
